country,apparent consumption(mt),a,GDP,S,research,price,,,
US,42.7,8.6038103,2.10E+13,233.57,2.83283,137.5,5.94894E+11,594894.3,1.828145738
China,1295.8,5.328018576,1.47E+13,233.57,2.14058,137.5,3.14665E+11,314665.26,55.47801516
Japan,119.6,11.78413512,5.06E+12,233.57,3.27512,137.5,1.65721E+11,165721.072,5.120520615
British,7.6,16.29256124,2.76E+12,233.57,1.70274,137.5,46995624000,46995.624,0.325384253
France,13.9,11.74040549,2.63E+12,233.57,2.19294,137.5,57674322000,57674.322,0.595110673
Germany,37.8,13.40108324,3.85E+12,233.57,3.13267,137.5,1.20608E+11,120607.795,1.618358522
Australian,83.3,8.674487094,1.33E+12,233.57,1.87466,137.5,24932978000,24932.978,
Canda,22.9,6.227232817,1.65E+12,233.57,1.54266,137.5,25453890000,25453.89,
I,,,,,,,,,
P,,,,,,,,,
R,4.2,,,,,,,,
